text,task,time,date
Submit the quarterly report by 6:30am,Submit the quarterly report,6:30am,
Schedule a team meeting for July 3 at 10:00am,Schedule a team meeting,10:00am,July 3
Meet with HR at 8:45am,Meet with hr at,8:45am,
I need to review my applications at 8:15am,I need to review,8:15am,
Meet with HR at 6:15am,Meet with hr at,6:15am,
Meet with HR at 7:15pm,Meet with hr at,7:15pm,
Set up a one-on-one on July 8 at 2:00pm,Set up a one-on-one,2:00pm,July 8
Call the client on June 7,Call the client on,,June 7
Call the client on May 27,Call the client on,,May 27
Submit the quarterly report by 6:00pm,Submit the quarterly report,6:00pm,
Prepare slides for the presentation on July 6,Prepare slides for the,,July 6
Send the invoice on May 26,Send the invoice on,,May 26
Meet with HR at 3:30pm,Meet with hr at,3:30pm,
Schedule a team meeting for July 2 at 8:00am,Schedule a team meeting,8:00am,July 2
Schedule a team meeting for July 14 at 3:00pm,Schedule a team meeting,3:00pm,July 14
Schedule a team meeting for June 7 at 9:45am,Schedule a team meeting,9:45am,June 7
Send the invoice on June 13,Send the invoice on,,June 13
Prepare slides for the presentation on July 4,Prepare slides for the,,July 4
Submit the quarterly report by 11:15am,Submit the quarterly report,11:15am,
Send the invoice on July 19,Send the invoice on,,July 19
Meet with HR at 1:30pm,Meet with hr at,1:30pm,
I need to review my applications at 1:00pm,I need to review,1:00pm,
Prepare slides for the presentation on May 25,Prepare slides for the,,May 25
Schedule a team meeting for July 1 at 4:15pm,Schedule a team meeting,4:15pm,July 1
Send the invoice on May 30,Send the invoice on,,May 30
Finish the budget review before 10:15am,Finish the budget review,10:15am,
Meet with HR at 2:45pm,Meet with hr at,2:45pm,
Set up a one-on-one on June 4 at 6:30pm,Set up a one-on-one,6:30pm,June 4
Call the client on July 8,Call the client on,,July 8
I need to review my applications at 9:15am,I need to review,9:15am,
Call the client on June 14,Call the client on,,June 14
Check email updates around 8:30pm,Check email updates around,8:30pm,
I need to review my applications at 9:30am,I need to review,9:30am,
Prepare slides for the presentation on June 17,Prepare slides for the,,June 17
Call the client on July 6,Call the client on,,July 6
Finish the budget review before 11:00am,Finish the budget review,11:00am,
Finish the budget review before 12:15pm,Finish the budget review,12:15pm,
Call the client on June 21,Call the client on,,June 21
I need to review my applications at 9:30am,I need to review,9:30am,
Finish the budget review before 1:00pm,Finish the budget review,1:00pm,
Set up a one-on-one on July 6 at 8:00am,Set up a one-on-one,8:00am,July 6
Send the invoice on May 29,Send the invoice on,,May 29
Send the invoice on June 23,Send the invoice on,,June 23
Set up a one-on-one on July 19 at 7:15pm,Set up a one-on-one,7:15pm,July 19
Meet with HR at 12:30pm,Meet with hr at,12:30pm,
Prepare slides for the presentation on May 28,Prepare slides for the,,May 28
Schedule a team meeting for June 11 at 1:00pm,Schedule a team meeting,1:00pm,June 11
I need to review my applications at 1:15pm,I need to review,1:15pm,
Submit the quarterly report by 7:15am,Submit the quarterly report,7:15am,
I need to review my applications at 4:00pm,I need to review,4:00pm,
Schedule a team meeting for June 3 at 2:45pm,Schedule a team meeting,2:45pm,June 3
Meet with HR at 10:45am,Meet with hr at,10:45am,
Send the invoice on May 27,Send the invoice on,,May 27
Submit the quarterly report by 7:30pm,Submit the quarterly report,7:30pm,
Check email updates around 8:00pm,Check email updates around,8:00pm,
Submit the quarterly report by 7:45am,Submit the quarterly report,7:45am,
Prepare slides for the presentation on June 2,Prepare slides for the,,June 2
Schedule a team meeting for June 17 at 8:15pm,Schedule a team meeting,8:15pm,June 17
Call the client on June 5,Call the client on,,June 5
Submit the quarterly report by 8:00pm,Submit the quarterly report,8:00pm,
Meet with HR at 6:00am,Meet with hr at,6:00am,
Schedule a team meeting for June 21 at 11:45am,Schedule a team meeting,11:45am,June 21
Send the invoice on July 17,Send the invoice on,,July 17
I need to review my applications at 11:45am,I need to review,11:45am,
Check email updates around 2:45pm,Check email updates around,2:45pm,
Check email updates around 9:15pm,Check email updates around,9:15pm,
Finish the budget review before 12:00pm,Finish the budget review,12:00pm,
Meet with HR at 7:30am,Meet with hr at,7:30am,
I need to review my applications at 9:15pm,I need to review,9:15pm,
Meet with HR at 8:15am,Meet with hr at,8:15am,
Set up a one-on-one on June 15 at 8:15am,Set up a one-on-one,8:15am,June 15
Submit the quarterly report by 1:00pm,Submit the quarterly report,1:00pm,
Submit the quarterly report by 7:30pm,Submit the quarterly report,7:30pm,
Finish the budget review before 12:30pm,Finish the budget review,12:30pm,
Finish the budget review before 6:15pm,Finish the budget review,6:15pm,
Finish the budget review before 8:30pm,Finish the budget review,8:30pm,
Submit the quarterly report by 6:45am,Submit the quarterly report,6:45am,
Set up a one-on-one on June 24 at 9:00am,Set up a one-on-one,9:00am,June 24
Schedule a team meeting for July 19 at 2:15pm,Schedule a team meeting,2:15pm,July 19
Prepare slides for the presentation on June 13,Prepare slides for the,,June 13
Finish the budget review before 11:45am,Finish the budget review,11:45am,
Meet with HR at 3:00pm,Meet with hr at,3:00pm,
Meet with HR at 3:00pm,Meet with hr at,3:00pm,
Call the client on July 16,Call the client on,,July 16
Submit the quarterly report by 10:30am,Submit the quarterly report,10:30am,
Set up a one-on-one on June 3 at 12:30pm,Set up a one-on-one,12:30pm,June 3
Finish the budget review before 9:30pm,Finish the budget review,9:30pm,
I need to review my applications at 8:45am,I need to review,8:45am,
Finish the budget review before 7:00am,Finish the budget review,7:00am,
Call the client on July 7,Call the client on,,July 7
Send the invoice on May 28,Send the invoice on,,May 28
Submit the quarterly report by 10:00am,Submit the quarterly report,10:00am,
Prepare slides for the presentation on May 29,Prepare slides for the,,May 29
I need to review my applications at 3:30pm,I need to review,3:30pm,
I need to review my applications at 5:15pm,I need to review,5:15pm,
Schedule a team meeting for July 9 at 9:30am,Schedule a team meeting,9:30am,July 9
Meet with HR at 7:15pm,Meet with hr at,7:15pm,
Schedule a team meeting for July 16 at 11:15am,Schedule a team meeting,11:15am,July 16
Check email updates around 6:15am,Check email updates around,6:15am,
Prepare slides for the presentation on June 7,Prepare slides for the,,June 7
Call the client on July 15,Call the client on,,July 15
I need to review my applications at 9:15pm,I need to review,9:15pm,
Send the invoice on July 12,Send the invoice on,,July 12
Schedule a team meeting for July 2 at 1:00pm,Schedule a team meeting,1:00pm,July 2
Schedule a team meeting for June 7 at 6:30pm,Schedule a team meeting,6:30pm,June 7
Submit the quarterly report by 2:30pm,Submit the quarterly report,2:30pm,
Meet with HR at 6:30pm,Meet with hr at,6:30pm,
I need to review my applications at 9:30am,I need to review,9:30am,
Set up a one-on-one on May 27 at 2:00pm,Set up a one-on-one,2:00pm,May 27
Set up a one-on-one on July 6 at 7:30pm,Set up a one-on-one,7:30pm,July 6
Prepare slides for the presentation on June 14,Prepare slides for the,,June 14
Set up a one-on-one on May 23 at 12:30pm,Set up a one-on-one,12:30pm,May 23
Check email updates around 6:15am,Check email updates around,6:15am,
Check email updates around 8:30am,Check email updates around,8:30am,
Prepare slides for the presentation on June 22,Prepare slides for the,,June 22
Finish the budget review before 7:30pm,Finish the budget review,7:30pm,
Finish the budget review before 10:15am,Finish the budget review,10:15am,
Check email updates around 11:30am,Check email updates around,11:30am,
Meet with HR at 6:30am,Meet with hr at,6:30am,
Schedule a team meeting for June 19 at 7:30pm,Schedule a team meeting,7:30pm,June 19
Send the invoice on June 22,Send the invoice on,,June 22
Send the invoice on June 8,Send the invoice on,,June 8
Meet with HR at 4:00pm,Meet with hr at,4:00pm,
Schedule a team meeting for July 11 at 3:15pm,Schedule a team meeting,3:15pm,July 11
Schedule a team meeting for May 23 at 10:00am,Schedule a team meeting,10:00am,May 23
Schedule a team meeting for June 19 at 9:00pm,Schedule a team meeting,9:00pm,June 19
Check email updates around 12:45pm,Check email updates around,12:45pm,
Check email updates around 1:15pm,Check email updates around,1:15pm,
I need to review my applications at 9:45am,I need to review,9:45am,
Call the client on June 25,Call the client on,,June 25
Schedule a team meeting for May 29 at 9:45am,Schedule a team meeting,9:45am,May 29
Send the invoice on June 29,Send the invoice on,,June 29
Meet with HR at 7:45pm,Meet with hr at,7:45pm,
Call the client on June 6,Call the client on,,June 6
Schedule a team meeting for June 30 at 2:45pm,Schedule a team meeting,2:45pm,June 30
Schedule a team meeting for May 25 at 2:45pm,Schedule a team meeting,2:45pm,May 25
Finish the budget review before 1:30pm,Finish the budget review,1:30pm,
Prepare slides for the presentation on May 30,Prepare slides for the,,May 30
Schedule a team meeting for July 5 at 6:15pm,Schedule a team meeting,6:15pm,July 5
Schedule a team meeting for June 16 at 8:45am,Schedule a team meeting,8:45am,June 16
Prepare slides for the presentation on May 24,Prepare slides for the,,May 24
Schedule a team meeting for July 17 at 7:45pm,Schedule a team meeting,7:45pm,July 17
